4, 7, 12, 13, 14, 28, 36, 40, 52, 56
5, 6, 13, 14, 15, 29, 37, 39, 53, 55
5, 6, 14, 15, 16, 30, 38, 38, 54, 54
4, 7, 15, 16, 17, 31, 37, 39, 53, 55
3, 8, 16, 17, 18, 32, 36, 40, 52, 56
2, 9, 17, 18, 19, 33, 35, 41, 51, 57
1, 10, 18, 19, 20, 34, 34, 42, 50, 58
0, 11, 19, 20, 21, 33, 35, 43, 49, 59
1, 12, 20, 21, 22, 32, 36, 44, 48, 60
2, 13, 21, 22, 23, 31, 37, 45, 47, 61
3, 14, 22, 23, 24, 30, 38, 46, 46, 62
4, 15, 23, 24, 25, 29, 39, 45, 47, 63
5, 16, 24, 25, 26, 28, 40, 44, 48, 64
6, 17, 25, 26, 27, 27, 41, 43, 49, 65
7, 18, 26, 26, 27, 28, 42, 42, 50, 66
8, 19, 25, 27, 28, 29, 41, 43, 51, 67
9, 20, 24, 28, 29, 30, 40, 44, 52, 68
10, 21, 23, 29, 30, 31, 39, 45, 53, 69
11, 22, 22, 30, 31, 32, 38, 46, 54, 70
12, 21, 23, 31, 32, 33, 37, 47, 55, 71
13, 20, 24, 32, 33, 34, 36, 48, 56, 72
14, 19, 25, 33, 34, 35, 35, 49, 57, 73
15, 18, 26, 34, 34, 35, 36, 50, 58, 74
16, 17, 27, 33, 35, 36, 37, 51, 59, 75
16, 17, 28, 32, 36, 37, 38, 52, 60, 76
15, 18, 29, 31, 37, 38, 39, 53, 61, 77
14, 19, 30, 30, 38, 39, 40, 54, 62, 78
13, 20, 29, 31, 39, 40, 41, 55, 63, 79
12, 21, 28, 32, 40, 41, 42, 56, 64, 80
11, 22, 27, 33, 41, 42, 43, 57, 65, 81
10, 23, 26, 34, 42, 43, 44, 58, 66, 82
9, 24, 25, 35, 43, 44, 45, 59, 67, 83
8, 24, 25, 36, 44, 45, 46, 60, 68, 84
7, 23, 26, 37, 45, 46, 47, 61, 69, 85
6, 22, 27, 38, 46, 47, 48, 62, 70, 86
5, 21, 28, 39, 47, 48, 49, 63, 71, 87
4, 20, 29, 40, 48, 49, 50, 64, 72, 88
3, 19, 30, 41, 49, 50, 51, 65, 73, 89
2, 18, 31, 42, 50, 51, 52, 66, 74, 90
1, 17, 32, 43, 51, 52, 53, 67, 75, 91
0, 16, 33, 44, 52, 53, 54, 68, 76, 92
1, 15, 34, 45, 53, 54, 55, 69, 77, 93
2, 14, 35, 46, 54, 55, 56, 70, 78, 94
3, 13, 36, 47, 55, 56, 57, 71, 79, 95
4, 12, 37, 48, 56, 57, 58, 72, 80, 96
5, 11, 38, 49, 57, 58, 59, 73, 81, 97
6, 10, 39, 50, 58, 59, 60, 74, 82, 98
7, 9, 40, 51, 59, 60, 61, 75, 83, 99
8, 8, 41, 52, 60, 61, 62, 76, 84, 100
7, 9, 42, 53, 61, 62, 63, 77, 85, 101
6, 10, 43, 54, 62, 63, 64, 78, 86, 102
5, 11, 44, 55, 63, 64, 65, 79, 87, 103
4, 12, 45, 56, 64, 65, 66, 80, 88, 104
3, 13, 46, 57, 65, 66, 67, 81, 89, 105
2, 14, 47, 58, 66, 67, 68, 82, 90, 106
1, 15, 48, 59, 67, 68, 69, 83, 91, 107
0, 16, 49, 60, 68, 69, 70, 84, 92, 108
1, 17, 50, 61, 69, 70, 71, 85, 93, 109
2, 18, 51, 62, 70, 71, 72, 86, 94, 110
3, 19, 52, 63, 71, 72, 73, 87, 95, 111
4, 20, 53, 64, 72, 73, 74, 88, 96, 112
5, 21, 54, 65, 73, 74, 75, 89, 97, 113
6, 22, 55, 66, 74, 75, 76, 90, 98, 114
7, 23, 56, 67, 75, 76, 77, 91, 99, 115
8, 24, 57, 68, 76, 77, 78, 92, 100, 116
9, 25, 58, 69, 77, 78, 79, 93, 101, 117
10, 26, 59, 70, 78, 79, 80, 94, 102, 118
